Summit Throughtput on All Tests,Bandwidth (kB/s)
ext4_video,10113.39
sealfs_video,10113.05
sealfs_video,10113.04
ext4_video,10112.89
sealfs_video,10112.1
ext4_video,10112.05
ext4_video,10111.93
ext4_video,10111.43
sealfs_video,10111.42
sealfs_video,10111.15
sealfs_video,10111.13
sealfs_video,10110.81
sealfs_video,10110.36
sealfs_video,10110.06
sealfs_video,10109.85
ext4_video,10109.62
sealfs_video,10109.54
sealfs_video,10109.42
sealfs_video,10109.35
sealfs_video,10109.28
sealfs_video,10109.12
sealfs_video,10108.49
sealfs_video,10108.37
sealfs_video,10108.06
ext4_video,10108.02
sealfs_video,10107.99
ext4_video,10107.96
sealfs_video,10107.96
sealfs_video,10107.82
sealfs_video,10107.71
sealfs_video,10107.42
ext4_video,10107.23
sealfs_video,10107.19
ext4_video,10106.96
sealfs_video,10106.96
sealfs_video,10106.95
sealfs_video,10106.91
sealfs_video,10106.82
ext4_video,10106.79
sealfs_video,10106.48
ext4_video,10106.18
sealfs_video,10106.11
sealfs_video,10106.01
sealfs_video,10106
sealfs_video,10105.99
sealfs_video,10105.8
sealfs_video,10105.44
ext4_video,10105.33
sealfs_video,10104.97
ext4_video,10104.91
sealfs_video,10104.79
ext4_video,10104.51
ext4_video,10104.43
sealfs_video,10104.19
ext4_video,10104.08
sealfs_video,10103.94
sealfs_video,10103.78
sealfs_video,10103.69
ext4_video,10103.67
sealfs_video,10103.45
ext4_video,10103.39
ext4_video,10103.3
ext4_video,10103.05
sealfs_video,10102.89
sealfs_video,10102.78
sealfs_video,10102.77
sealfs_video,10102.75
sealfs_video,10102.53
sealfs_video,10102.49
ext4_video,10102.45
ext4_video,10102.44
sealfs_video,10102.2
ext4_video,10102.09
ext4_video,10102.09
sealfs_video,10102.04
ext4_video,10101.97
ext4_video,10101.87
ext4_video,10101.82
sealfs_video,10101.71
ext4_video,10101.32
ext4_video,10101.13
sealfs_video,10100.92
ext4_video,10100.78
sealfs_video,10100.58
ext4_video,10100.44
sealfs_video,10100.32
sealfs_video,10100.16
sealfs_video,10100.13
sealfs_video,10100.08
ext4_video,10099.81
ext4_video,10099.64
sealfs_video,10099.47
ext4_video,10099.45
sealfs_video,10099.36
ext4_video,10099.27
sealfs_video,10099.19
ext4_video,10099.17
sealfs_video,10098.77
sealfs_video,10098.4
ext4_video,10098.31
ext4_video,10098.29
sealfs_video,10098.08
ext4_video,10097.93
sealfs_video,10097.89
ext4_video,10097.88
sealfs_video,10097.46
sealfs_video,10097.46
ext4_video,10097.37
sealfs_video,10097.35
sealfs_video,10097.2
sealfs_video,10097.11
sealfs_video,10096.89
sealfs_video,10096.44
ext4_video,10096.37
sealfs_video,10096.19
ext4_video,10095.66
ext4_video,10095.64
sealfs_video,10095.4
ext4_video,10095.07
sealfs_video,10095.07
sealfs_video,10094.5
sealfs_video,10094.5
sealfs_video,10094.49
sealfs_video,10094.45
sealfs_video,10094.39
sealfs_video,10094.09
ext4_video,10094.03
sealfs_video,10093.77
sealfs_video,10093.72
sealfs_video,10093.13
sealfs_video,10093.11
sealfs_video,10092.5
sealfs_video,10092.4
sealfs_video,10092.1
sealfs_video,10091.94
sealfs_video,10091.77
sealfs_video,10091.4
sealfs_video,10091
sealfs_video,10090.74
sealfs_video,10090.26
sealfs_video,10089.78
sealfs_video,10089.71
sealfs_video,10089.67
sealfs_video,10089.65
sealfs_video,10089.62
ext4_video,10089.53
sealfs_video,10089.5
sealfs_video,10089.46
sealfs_video,10089.37
sealfs_video,10089.17
sealfs_video,10089.12
sealfs_video,10088.98
sealfs_video,10088.9
sealfs_video,10088.81
sealfs_video,10088.73
sealfs_video,10088.67
sealfs_video,10088.62
sealfs_video,10087.49
sealfs_video,10087.28
sealfs_video,10087.27
sealfs_video,10086.84
sealfs_video,10086.75
sealfs_video,10086.36
sealfs_video,10086.09
sealfs_video,10085.91
ext4_video,10085.88
sealfs_video,10085.8
sealfs_video,10085.72
sealfs_video,10085.43
sealfs_video,10085.24
ext4_video,10084.9
ext4_video,10084.7
sealfs_video,10084.69
sealfs_video,10084.12
ext4_video,10084.01
sealfs_video,10083.92
sealfs_video,10083.83
sealfs_video,10082.94
ext4_video,10082.91
sealfs_video,10082.5
sealfs_video,10082.14
sealfs_video,10081.58
sealfs_video,10081.22
sealfs_video,10081.05
ext4_video,10080.5
ext4_video,10080.32
sealfs_video,10077.63
sealfs_video,10077.4
sealfs_video,10076.01
sealfs_video,10074.92
sealfs_video,10074.78
